246391,0
246400,64232
246403,96906
246404,187823
246407,253002
246417,297788
246421,358286
246427,375009
246429,504416
246436,526182
246451,547507
246453,569282
246455,640242
246460,675314
246475,792562
246566,816928
246592,887678
246614,1011981
246624,1114812
246626,1169347
246639,1220539
246647,1289919
246648,1296274
246671,1405699
246672,1461184
246676,1678887
246677,1731045
246702,1788432
246709,1838292
246713,1881264
246731,1956265
246738,2088084
246740,2304545
246743,2347758
246746,2448541
246747,2486625
246748,2511770
246751,2551115
246762,2601268
246764,2643178
246765,2657294
246766,2712061
246767,2745189
246768,2754494
246771,2801275
246775,2815821
246776,2861452
246777,2875081
246779,2970001
246781,3014542
246782,3041602
246783,3156241
246786,3173252
246787,3291999
246788,3373589
246789,3404447
246791,3456674
246792,3558458
246795,3631519
246844,3659092
246884,3693668
246888,3745919
246898,3843387
246910,3910051
246917,3991443
246920,4028682
246941,4215109
247336,4386158
1586893,4526717
1586945,4648007
1586953,4694820
1586959,4705610
1587119,4771089
1587306,4791221
1587325,4810099
1587328,4825244
1587418,4852163
1587436,4947381
1587441,5064956
1587475,5172801
1587508,5198408
1587511,5226090
1587517,5275480
1587519,5290447
1587521,5538748
1587541,5594872
1587549,5658656
1587590,5746779
1587602,5797314
1587784,5966970
1587786,5996147
1587794,6019941
1587796,6115776
1587800,6149625
1587812,6261907
1588088,6313685
1620199,6384523
1620233,6900062
1620245,6977714
